id 2,time,pm10
CU-S0003,2018-04-17,18.501003584229384
CU-S0003,2018-04-18,21.418727915194353
CU-S0003,2018-04-19,34.72602112676055
CU-S0003,2018-04-20,49.850845070422515
CU-S0003,2018-04-21,63.082394366197164
CU-S0003,2018-04-22,74.49656140350879
CU-S0003,2018-04-23,83.42249110320287
CU-S0003,2018-04-24,93.26433098591544
CU-S0003,2018-04-25,54.253473684210505
CU-S0003,2018-04-26,28.216007067137795
CU-S0003,2018-04-27,22.145406360424026
CU-S0003,2018-04-28,22.05365853658536
CU-S0003,2018-04-29,15.357839721254361
CU-S0003,2018-04-30,12.53240418118467
CU-S0003,2018-05-01,17.558581560283685
CU-S0003,2018-05-02,4.335283687943262
CU-S0003,2018-05-03,8.579020979020978
CU-S0003,2018-05-04,10.697243816254415
CU-S0003,2018-05-05,15.216408450704233
CU-S0003,2018-05-06,35.615032679738555
CU-S0003,2018-05-07,43.27299295774647
CU-S0003,2018-05-08,48.7196853146853
CU-S0003,2018-05-09,53.4018245614035
CU-S0003,2018-05-10,33.85
CU-S0003,2018-05-11,24.04427046263343
CU-S0003,2018-05-12,17.060590277777784
CU-S0003,2018-05-13,18.166319444444454
CU-S0003,2018-05-14,25.05954225352114
CU-S0003,2018-05-15,21.19085365853658
CU-S0003,2018-05-20,8.704918032786885
CU-S0003,2018-05-21,19.06503496503497
CU-S0003,2018-05-22,24.26009708737865
CU-S0003,2018-05-23,14.527473460721879
CU-S0003,2018-05-24,13.28257839721254
CU-S0003,2018-05-25,20.758596491228076
CU-S0003,2018-05-26,12.194895104895114
CU-S0003,2018-05-27,14.007291666666667
CU-S0003,2018-05-28,6.114125874125879
CU-S0003,2018-05-29,9.168402777777779
CU-S0003,2018-05-30,9.384315789473678
CU-S0003,2018-05-31,8.354403669724773
CU-S0003,2018-06-01,12.00015384615385
CU-S0003,2018-06-02,25.10582456140351
CU-S0003,2018-06-03,12.755888501742161
CU-S0003,2018-06-04,15.536666666666676
CU-S0003,2018-06-05,10.479265734265727
CU-S0003,2018-06-06,8.895017667844527
CU-S0003,2018-06-07,10.13504
CU-S0004,2018-02-12,47.69524229074891
CU-S0004,2018-02-13,49.776655052264815
CU-S0004,2018-02-14,63.99965156794427
CU-S0004,2018-02-15,71.06634146341464
CU-S0004,2018-02-16,47.91655052264806
CU-S0004,2018-02-17,53.943333333333335
CU-S0004,2018-02-18,72.70155038759688
CU-S0004,2018-02-19,71.6502491103203
CU-S0004,2018-02-20,73.43242105263153
CU-S0004,2018-02-21,65.86433098591547
CU-S0004,2018-02-22,34.01846153846154
CU-S0004,2018-02-23,23.54592982456139
CU-S0004,2018-02-24,31.45121951219511
CU-S0004,2018-02-25,40.223693379790944
CU-S0004,2018-02-26,30.593402777777765
CU-S0004,2018-02-27,36.493379790940764
CU-S0004,2018-02-28,56.139649122806986
CU-S0004,2018-03-01,61.71584507042256
CU-S0004,2018-03-02,57.7295818815331
CU-S0004,2018-03-03,54.87622377622379
CU-S0004,2018-03-04,75.96940350877186
CU-S0004,2018-03-05,87.05471830985917
CU-S0004,2018-03-06,83.51224561403521
CU-S0004,2018-03-07,111.71136363636364
CU-S0004,2018-03-08,83.04615384615384
CU-S0004,2018-03-09,26.272937062937064
CU-S0004,2018-03-10,42.1191958041958
CU-S0004,2018-03-11,70.5771328671328
CU-S0004,2018-03-12,72.48007092198584
CU-S0004,2018-03-13,61.4405653710247
CU-S0004,2018-03-14,74.14706293706291
CU-S0004,2018-03-15,92.53762411347522
CU-S0004,2018-03-16,88.08172535211271
CU-S0004,2018-03-17,68.77688811188813
CU-S0004,2018-03-18,70.79108391608392
CU-S0004,2018-03-19,73.90839160839158
CU-S0004,2018-03-20,98.21770034843209
CU-S0004,2018-03-21,83.48864111498263
CU-S0004,2018-03-22,85.63372822299642
CU-S0004,2018-03-23,92.11961672473872
CU-S0004,2018-03-24,94.96466898954701
CU-S0004,2018-03-25,88.77222222222218
CU-S0004,2018-03-26,84.71227272727279
CU-S0004,2018-03-27,65.7990592334495
CU-S0004,2018-03-28,67.00440972222222
CU-S0004,2018-03-29,76.3533216783217
CU-S0004,2018-03-30,80.37363636363638
CU-S0004,2018-03-31,48.299545454545466
CU-S0004,2018-04-01,54.57466898954702
CU-S0004,2018-04-02,53.71733333333333
CU-S0004,2018-04-03,46.964558303886875
CU-S0004,2018-04-04,51.60105633802818
CU-S0004,2018-04-05,33.98793706293705
CU-S0004,2018-04-06,33.575191637630674
CU-S0004,2018-04-07,13.300909090909098
CU-S0004,2018-04-08,15.420629370629374
CU-S0004,2018-04-09,21.64943859649123
CU-S0004,2018-04-10,49.17141342756182
CU-S0004,2018-04-11,73.04376306620208
CU-S0004,2018-04-12,90.53124999999997
CU-S0004,2018-04-13,88.94045296167255
CU-S0004,2018-04-14,93.17222222222219
CU-S0004,2018-04-15,72.85199300699303
CU-S0004,2018-04-16,31.910843373493957
CU-S0004,2018-04-17,17.589713114754108
CU-S0004,2018-04-18,19.496936619718294
CU-S0004,2018-04-19,36.18772727272725
CU-S0004,2018-04-20,46.63524475524476
CU-S0004,2018-04-21,60.82804195804191
CU-S0004,2018-04-22,77.31888501742155
CU-S0004,2018-04-23,85.12832167832168
