Series,Time,Value
CU-S0013,10/3/2018,58.40416667
CU-S0013,11/3/2018,106.0982578
CU-S0013,12/3/2018,117.974023
CU-S0013,13/3/2018,115.4567972
CU-S0013,14/3/2018,125.2976761
CU-S0013,15/3/2018,148.5680565
CU-S0013,16/3/2018,153.0491613
CU-S0013,18/3/2018,108.8240678
CU-S0013,19/3/2018,119.1295954
CU-S0013,20/3/2018,130.1980087
CU-S0013,21/3/2018,139.9445487
CU-S0013,22/3/2018,133.7565543
CU-S0013,23/3/2018,132.9182041
CU-S0013,24/3/2018,135.8578125
CU-S0013,26/3/2018,157.6895111
CU-S0013,27/3/2018,133.9256
CU-S0013,28/3/2018,118.5698333
CU-S0013,29/3/2018,133.5692958
CU-S0013,30/3/2018,143.0764626
CU-S0013,31/3/2018,86.62711712
CU-S0013,1/4/2018,96.61293706
CU-S0013,2/4/2018,89.01596958
CU-S0013,3/4/2018,59.69787986
CU-S0013,4/4/2018,88.08189055
CU-S0013,5/4/2018,65.4482807
CU-S0013,6/4/2018,61.09537879
CU-S0013,7/4/2018,20.39319298
CU-S0013,8/4/2018,23.23957895
CU-S0013,9/4/2018,34.6775089
CU-S0013,10/4/2018,78.65316901
CU-S0013,11/4/2018,119.3240529
CU-S0013,12/4/2018,130.6735556
CU-S0013,16/4/2018,74.03315789
CU-S0013,17/4/2018,45.41555556
CU-S0013,18/4/2018,41.35170732
CU-S0013,19/4/2018,64.34483607
CU-S0013,20/4/2018,76.50144928
CU-S0014,7/2/2018,102.3999694
CU-S0014,12/2/2018,78.60741071
CU-S0014,13/2/2018,79.51055944
CU-S0014,14/2/2018,96.38894366
CU-S0014,15/2/2018,101.4266431
CU-S0014,16/2/2018,56.53944251
CU-S0014,17/2/2018,82.82
CU-S0014,19/2/2018,110.7680628
CU-S0014,20/2/2018,112.050381
CU-S0014,21/2/2018,113.3266429
CU-S0014,22/2/2018,101.0705455
CU-S0014,23/2/2018,29.71447471
CU-S0014,24/2/2018,42.11594203
CU-S0014,25/2/2018,66.76657303
CU-S0014,26/2/2018,66.55943463
CU-S0014,27/2/2018,68.19155235
CU-S0014,28/2/2018,91.28550725
CU-S0014,1/3/2018,98.38327526
CU-S0014,2/3/2018,102.2962278
CU-S0014,3/3/2018,85.07126761
CU-S0014,4/3/2018,109.5300351
CU-S0014,5/3/2018,128.6946429
CU-S0014,6/3/2018,122.0315901
CU-S0014,7/3/2018,164.2033571
CU-S0014,8/3/2018,133.7568905
CU-S0014,9/3/2018,33.29311828
CU-S0014,10/3/2018,59.83263889
CU-S0014,11/3/2018,99.89909408
CU-S0014,12/3/2018,112.4009353
CU-S0014,13/3/2018,107.6241844
