sensorid,time,pm1
CU-S0002,21-04-18,32.01688525
CU-S0002,22-04-18,38.5371875
CU-S0002,23-04-18,36.22587413
CU-S0002,24-04-18,39.33684211
CU-S0002,25-04-18,31.02029412
CU-S0002,26-04-18,18.77285714
CU-S0002,27-04-18,
CU-S0002,28-04-18,10.07125
CU-S0002,29-04-18,9.363636364
CU-S0002,30-04-18,
CU-S0002,01-05-18,10.22727273
CU-S0002,02-05-18,3.976398601
CU-S0002,03-05-18,6.277380952
CU-S0002,04-05-18,
CU-S0002,05-05-18,
CU-S0002,06-05-18,25.65622642
CU-S0002,07-05-18,19.99713178
CU-S0002,08-05-18,24.17190972
CU-S0002,09-05-18,27.52420382
CU-S0002,10-05-18,19.8
CU-S0002,11-05-18,18.49255245
CU-S0002,12-05-18,11.58601399
CU-S0002,13-05-18,
CU-S0002,14-05-18,
CU-S0002,15-05-18,13.9364
CU-S0002,16-05-18,23.51363636
CU-S0002,17-05-18,11.76666667
CU-S0002,18-05-18,
CU-S0002,19-05-18,
CU-S0002,20-05-18,
CU-S0002,21-05-18,
CU-S0002,22-05-18,
CU-S0002,23-05-18,6.416283186
CU-S0002,24-05-18,12.57475694
CU-S0002,25-05-18,9.663041237
CU-S0002,26-05-18,9.578715278
CU-S0002,27-05-18,4.455757576
CU-S0002,28-05-18,5.174
CU-S0002,29-05-18,5.516666667
CU-S0002,30-05-18,7.331944444
CU-S0002,31-05-18,6.648958333
CU-S0002,01-06-18,10.03055556
CU-S0002,02-06-18,6.751923077
CU-S0002,03-06-18,
CU-S0002,04-06-18,8.55953125
CU-S0002,05-06-18,
CU-S0002,06-06-18,7.915413534
CU-S0002,07-06-18,4.286315789
CU-S0002,08-06-18,
CU-S0002,09-06-18,
CU-S0002,10-06-18,
CU-S0002,11-06-18,
CU-S0002,12-06-18,
CU-S0002,13-06-18,
CU-S0002,14-06-18,
CU-S0002,15-06-18,
CU-S0002,16-06-18,
CU-S0002,17-06-18,
CU-S0002,18-06-18,
CU-S0002,19-06-18,
CU-S0002,20-06-18,
CU-S0002,21-06-18,
CU-S0002,22-06-18,
CU-S0002,23-06-18,
CU-S0002,24-06-18,
CU-S0002,25-06-18,
CU-S0002,26-06-18,
